movie_name,movie_opening,movie_weekend,movie_firstweek,movie_total,movie_total_worldwide
Baazaar,3.07,11.93,18.05,28.02,0
Badhaai Ho,7.35,45.7,66.1,136.8,180
Tumbbad,0.65,3.25,5.85,13.48,8.09
AndhaDhun,2.7,15,27.65,41.9,71.74
Sui Dhaaga: Made In India,8.3,36.6,62.5,79.02,100
Pataakha,0.9,4.05,7.64,7.64,0
Batti Gul Meter Chalu,6.76,23.26,34.43,37.26,44.63
Manmarziyaan,3.52,14.33,21.4,26.45,39.93
Yamla Pagla Deewana Phir Se,1.82,6.32,9.42,9.42,14.7
Stree,6.83,32.27,60.39,129.67,150.18
Happy Phirr Bhag Jayegi,2.7,11.78,18.11,18.11,27.85
Gold,25.25,71.3,89.3,107.37,149.5
Satyameva Jayate,20.52,56.91,75.09,75.09,106.67
Fanney Khan,2.15,7.15,9.85,9.85,16.55
Mulk,1.68,8.16,12.81,17.51,26.28
Karwaan,1.6,8.1,12.4,16.55,22.87
Dhadak,8.71,33.67,51.56,69.16,109.88
Soorma,3.2,13.85,21.21,30.11,38.14
Sanju,34.75,120.06,202.51,341.22,579
Race 3,29.17,106.47,144.51,161.04,300.04
Veere Di Wedding,10.7,36.52,56.96,80.23,88.64
Parmanu: The Story of Pokhran,4.82,20.78,35.41,65.36,70.82
Raazi,7.53,32.94,56.59,123.17,183.87
102 Not Out,3.52,16.65,27.7,51.79,77.82
Omerta,0.54,2.63,3.63,3.63,4
Nanu Ki Jaanu,0.75,3.1,4,4.09,0
October,5.04,20.25,30.24,45.36,54.23
Blackmail,2.81,11.22,16.92,19.11,28.6
Baaghi 2,25.1,73.1,112.85,165.5,251.31
Hichki,3.3,15.35,26.1,46.17,75.76
Raid,10.04,41.01,63.05,101.54,142.73
Hate Story IV,3.76,12.57,20.04,20.04,26
Pari,4.36,15.34,22.75,22.75,40.31
Welcome To New York,1,3,3,0,4
Sonu Ke Titu Ki Sweety,6.42,26.57,45.94,108.71,148.48
Aiyaary,3.36,11.7,16.14,17.79,29.23
Pad Man,10.26,40.05,62.87,80,120.56
Padmaavat,24,114,166.5,300.26,585
1921,1.56,6.45,11.58,15.67,23.4
Kaalakaandi,1.25,3.85,5.77,5.77,6.5
Mukkabaaz,0.82,4.04,6.73,8.87,13
Tiger Zinda Hai,34.1,114.93,206.04,339.16,558
Fukrey Returns,8.1,32.2,50.55,80.13,101.78
Firangi,1.85,6.6,9.5,9.5,10.3
Tumhari Sulu,2.87,12.87,19.78,34.14,50.8
Aksar 2,0.8,2.9,5.3,5.6,11
Qarib Qarib Singlle,1.75,8.3,12.15,12.15,17
Ittefaq,4.05,16.05,23.65,27.4,51.47
Golmaal Again,30.14,87.6,136.07,205.52,309.37
Secret Superstar,4.8,31.1,41.59,59.34,547
Chef,1.05,4,5.6,6.37,5
Judwaa 2,16.1,59.25,98.08,138.47,215
Newton,0.96,6.9,11.83,22.79,65
Bhoomi,2.25,7.48,10.28,10.63,15.68
Haseena Parkar,1.87,6.1,8,8.03,9
Lucknow Central,2.04,8.42,10.42,11.2,16.95
Simran,2.77,10.65,15.48,17.26,27.69
Poster Boys,1.75,7.25,11.2,12.73,18.61
